data,fonte,submercado,patamar,sistema_orig,pat,sistema_calc,sistema,pmo,erro
2026-07-01,UFV,SUDESTE,2,1912.0,1.8806,3595.7072000000003,3596.0,3596.0,0.0
2026-08-01,UFV,SUDESTE,2,1974.0,1.9245,3798.963,3799.0,3799.0,0.0
2026-09-01,UFV,SUDESTE,2,2484.0,1.611,4001.724,4002.0,4002.0,0.0
2026-10-01,UFV,SUDESTE,2,2138.0,1.5874,3393.8612,3394.0,3394.0,0.0
2026-11-01,UFV,SUDESTE,2,2306.0,1.473,3396.7380000000003,3397.0,3397.0,0.0
2026-12-01,UFV,SUDESTE,2,2051.0,1.4764,3028.0964,3028.0,3028.0,0.0
2027-01-01,UFV,SUDESTE,2,2066.0,1.5219,3144.2454000000002,3144.0,3144.0,0.0
2027-02-01,UFV,SUDESTE,2,2173.0,1.4812,3218.6476000000002,3219.0,3219.0,0.0
2027-03-01,UFV,SUDESTE,2,2141.0,1.6111,3449.3651,3449.0,3449.0,0.0
2027-04-01,UFV,SUDESTE,2,1928.0,1.577,3040.456,3040.0,3040.0,0.0
2027-05-01,UFV,SUDESTE,2,1936.0,1.8947,3668.1392,3668.0,3668.0,0.0
2027-06-01,UFV,SUDESTE,2,1797.0,1.9856,3568.1232,3568.0,3568.0,0.0
2027-07-01,UFV,SUDESTE,2,1918.0,1.8945,3633.6510000000003,3634.0,3634.0,0.0
2027-08-01,UFV,SUDESTE,2,2009.0,1.9092,3835.5828,3836.0,3836.0,0.0
2027-09-01,UFV,SUDESTE,2,2509.0,1.611,4041.999,4042.0,4042.0,0.0
2027-10-01,UFV,SUDESTE,2,2150.0,1.5938,3426.67,3427.0,3427.0,0.0
2027-11-01,UFV,SUDESTE,2,2335.0,1.4688,3429.648,3430.0,3430.0,0.0
2027-12-01,UFV,SUDESTE,2,2079.0,1.4715,3059.2485,3059.0,3059.0,0.0
2028-01-01,UFV,SUDESTE,2,2097.0,1.5146,3176.1162,3176.0,3176.0,0.0
2028-02-01,UFV,SUDESTE,2,2199.0,1.479,3252.3210000000004,3252.0,3252.0,0.0
2028-03-01,UFV,SUDESTE,2,2175.0,1.6025,3485.4375,3485.0,3485.0,0.0
2028-04-01,UFV,SUDESTE,2,1907.0,1.5941,3039.9487,3040.0,3040.0,0.0
2028-05-01,UFV,SUDESTE,2,1960.0,1.8714,3667.944,3668.0,3668.0,0.0
2028-06-01,UFV,SUDESTE,2,1781.0,2.0038,3568.7678,3569.0,3569.0,0.0
2028-07-01,UFV,SUDESTE,2,1904.0,1.9087,3634.1648,3634.0,3634.0,0.0
2028-08-01,UFV,SUDESTE,2,2025.0,1.8943,3835.9575,3836.0,3836.0,0.0
2028-09-01,UFV,SUDESTE,2,2496.0,1.6192,4041.5232,4042.0,4042.0,0.0
2028-10-01,UFV,SUDESTE,2,2159.0,1.5874,3427.1965999999998,3427.0,3427.0,0.0
2028-11-01,UFV,SUDESTE,2,2329.0,1.473,3430.617,3431.0,3431.0,0.0
2028-12-01,UFV,SUDESTE,2,2058.0,1.4862,3058.5996,3059.0,3059.0,0.0
2024-08-01,UFV,SUDESTE,3,1233.0,0.6084,750.1572000000001,750.0,750.0,0.0
2024-09-01,UFV,SUDESTE,3,1616.0,0.7484,1209.4144,1209.0,1209.0,0.0
2024-10-01,UFV,SUDESTE,3,1426.0,0.7761,1106.7186,1107.0,1107.0,0.0
2024-11-01,UFV,SUDESTE,3,1572.0,0.8051,1265.6172000000001,1266.0,1266.0,0.0
2024-12-01,UFV,SUDESTE,3,1408.0,0.7828,1102.1824000000001,1102.0,1102.0,0.0
2025-01-01,UFV,SUDESTE,3,1464.0,0.734,1074.576,1075.0,1075.0,0.0
2025-02-01,UFV,SUDESTE,3,1596.0,0.752,1200.192,1200.0,1200.0,0.0
2025-03-01,UFV,SUDESTE,3,1618.0,0.6983,1129.8494,1130.0,1130.0,0.0
2025-04-01,UFV,SUDESTE,3,1568.0,0.7972,1250.0096,1250.0,1250.0,0.0
2025-05-01,UFV,SUDESTE,3,1697.0,0.6665,1131.0505,1131.0,1131.0,0.0
2025-06-01,UFV,SUDESTE,3,1564.0,0.5715,893.826,894.0,894.0,0.0
2025-07-01,UFV,SUDESTE,3,1722.0,0.6209,1069.1898,1069.0,1069.0,0.0
2025-08-01,UFV,SUDESTE,3,1811.0,0.6155,1114.6705000000002,1115.0,1115.0,0.0
2025-09-01,UFV,SUDESTE,3,2295.0,0.7449,1709.5455,1710.0,1710.0,0.0
2025-10-01,UFV,SUDESTE,3,2144.0,0.7764,1664.6016,1665.0,1665.0,0.0
2025-11-01,UFV,SUDESTE,3,2306.0,0.8078,1862.7867999999999,1863.0,1863.0,0.0
2025-12-01,UFV,SUDESTE,3,2051.0,0.7826,1605.1126,1605.0,1605.0,0.0
